epoch,loss,accuracy
1,5.581568186720972,0.875
2,1.4711047452212012,0.375
3,1.270525177735618,0.625
4,1.0445716258431106,0.875
5,0.9698789700134978,0.75
6,0.9809256549878277,0.25
7,0.9817008932730988,0.375
8,0.951607947860404,0.875
9,0.9082195430252019,0.875
10,0.8779219578770576,0.75
11,0.8718179192053538,0.75
12,0.8556863404577159,0.875
13,0.8292301349250134,0.875
14,0.8033099465573819,0.75
15,0.7972977105876459,0.875
16,0.7840755311309271,0.875
17,0.7736001044592641,0.875
18,0.7653376455483973,0.875
19,0.7585500286667828,0.875
20,0.7515919056142621,0.875
21,0.7437796369231805,0.875
22,0.735506544448104,0.875
23,0.7272917326310335,0.875
24,0.7191978287478048,0.875
25,0.7110998970963514,0.875
26,0.7030464100420388,0.875
27,0.6951789183628223,0.875
28,0.6875501331388424,0.875
29,0.6801288617184967,0.875
30,0.672874560189763,0.875
31,0.6657566159066561,0.875
32,0.6587427272961395,0.875
33,0.6518016502753624,0.875
34,0.6461490140699427,0.875
35,0.6545552692667043,0.875
36,0.6368175467478572,0.875
37,0.6265222923279803,0.875
38,0.6296007587993943,0.875
39,0.6135321916619401,0.875
40,0.6152456330948345,0.875
41,0.6094943756076884,0.875
42,0.5955459917213969,0.875
43,0.5974049859087482,0.875
44,0.5934587105664879,0.875
45,0.5785132996287694,0.875
46,0.5824134603598461,0.875
47,0.5761448723040189,0.875
48,0.5618084818986575,0.875
49,0.5720303550214796,0.875
50,0.5523758871358904,0.875
51,0.5586150337537332,0.875
52,0.5462334932271613,0.875
53,0.54612965656642,0.875
54,0.538113675579221,0.875
55,0.5367625972397048,0.875
56,0.5290632455428288,0.875
57,0.5279813777459952,0.875
58,0.5207296669040121,0.875
59,0.5188769536974582,0.875
60,0.5129432759113816,0.875
61,0.5099875843461893,0.875
62,0.5052956730026134,0.875
63,0.5015493242945838,0.875
64,0.497800743195538,0.875
65,0.49341819534652837,0.875
66,0.49055351131368646,0.875
67,0.48551093634854825,0.875
68,0.48354747471400694,0.875
69,0.47784310138287783,0.875
70,0.4767507144416636,0.875
71,0.4704238296591634,0.875
72,0.4701522706326699,0.875
73,0.46324124027539587,0.875
74,0.46374767975212194,0.875
75,0.45628417764614276,0.875
76,0.45752943406204266,0.875
77,0.4495449178716517,0.875
78,0.45149025927840053,0.875
79,0.4430145728268553,0.875
80,0.4456247263283562,0.875
81,0.43668325443520767,0.875
82,0.43992783828773835,0.875
83,0.4305419221065709,0.875
84,0.43439411575789577,0.875
85,0.4245829074859636,0.875
86,0.429017658418795,0.875
87,0.4188124136930632,1.0
88,0.42989707357049917,0.875
89,0.4194629169705566,0.875
90,0.4121926278332839,0.875
91,0.41646558768800906,0.875
92,0.41341320479065446,0.875
93,0.4055540458199651,0.875
94,0.4082848235187042,0.875
95,0.4059175065917441,0.875
96,0.39862772793115964,1.0
97,0.4008130011033714,0.875
98,0.399112864143215,0.875
99,0.3923283018194493,1.0
100,0.39288421664516443,0.875
